Date,Open,High,Low,Close,Volume,volume_imbalance_signal,volatility_of_pressure,intraday_pressure_index,volume_imbalance_signal_z_score,cumulative_abnormal_pressure,range_volume_volatility,order_flow_proxy,volume_shock_index,price_momentum_pressure,close_direction
2021-02-10 00:00:00-05:00,11.859999656677246,11.90999984741211,11.649999618530273,-0.009174283467645816,151300,3026.0692596435547,132027.39013997922,1.7184416978310372e-06,0.3348974661055055,1.0639254853074358,6.194229721456084e-08,1777775.0,-0.8017219118085587,1191.918058605738,0
2021-02-11 00:00:00-05:00,11.880000114440918,11.9399995803833,11.5600004196167,-0.009259230270842744,83200,-9151.971435546875,108351.95157080902,4.567297605367807e-06,0.4528249711709171,-1.33572370238453,9.987087050059152e-08,963456.0729980469,-0.9317120411621119,-5.045595140720609,0
2021-02-12 00:00:00-05:00,11.649999618530273,11.800000190734863,11.609999656677246,0.002548830229773147,117200,17580.06706237793,93444.84841726194,1.6211649663619213e-06,0.6059886175048769,1.3076639627360935,5.6049220218674716e-08,1371825.9910583496,-0.6861550699503557,498.7253067341257,1
2021-02-16 00:00:00-05:00,11.800000190734863,11.890000343322754,11.609999656677246,-0.008474608462146094,265500,-26550.101280212402,42323.195014101526,1.0546165222053024e-06,-0.26969664535660964,3.106209741510697,9.3264547971206e-08,3069179.8582077026,0.0407605752281957,-791.8662052691585,0
2021-02-17 00:00:00-05:00,11.850000381469727,11.850000381469727,11.670000076293945,0.009401761721778312,177400,-7095.993232727051,39942.867215475926,1.0146578645759935e-06,0.11338577326031665,3.2239632518840793,7.486189067382541e-08,2079128.0473709106,-0.24607770602796436,743.4372318587451,1
2021-02-18 00:00:00-05:00,12.270000457763672,12.460000038146973,12.109999656677246,0.036409765979959374,460300,-13809.316062927246,39793.35426473193,7.603744980876093e-07,-0.07994965704527796,2.8359424338037176,1.2801459490698433e-07,5553519.306850433,1.8762393360662204,16240.637426877007,1
2021-02-19 00:00:00-05:00,12.369999885559082,13.1899995803833,12.369999885559082,0.038398715344573287,424300,144262.064743042,57341.57139053217,1.932594142880553e-06,2.5978616182220993,5.1064929360128355,2.7200670589386495e-07,5218890.0809288025,1.3631518796257194,28120.55473888555,1
2021-02-22 00:00:00-05:00,12.65999984741211,13.289999961853027,12.557999610900879,0.0031471252346950696,506900,45621.07734680176,58286.139357614484,1.4440725013851814e-06,0.7726331447851329,5.307898606464239,2.2434618897523507e-07,6277449.511051178,1.6182701492878435,31424.90505158815,1
2021-02-23 00:00:00-05:00,12.25,12.319999694824219,11.399999618530273,-0.047843110327627114,379700,-41766.86964035034,59146.26815930665,2.4229657000103906e-06,-0.6935188981419558,4.153140827692843,2.789932620502348e-07,4434896.115875244,0.6939209714842248,3699.5578445879487,0
2021-02-24 00:00:00-05:00,14.050000190734863,15.390000343322754,13.609999656677246,0.18945627446588942,7375300,2876362.498474121,771720.8235867247,2.4134620783500437e-07,3.594953863830765,7.4571737992049645,1.5669519124033916e-07,99935309.37309265,3.463191878128274,1356198.024562732,1
2021-02-25 00:00:00-05:00,14.0,14.5600004196167,13.032999992370605,-0.09141272390460697,2067400,-1819312.2365951538,942597.0466727036,7.38609087378395e-07,-2.0851528615505868,5.249837289224228,1.2593197271970576e-07,25545827.42176056,0.5948622186651552,141803.72289951693,0
2021-02-26 00:00:00-05:00,13.34000015258789,14.800000190734863,12.600000381469727,0.1028963714363782,1714800,1937724.1962432861,1063799.7672377976,1.2829483375700588e-06,1.6774507289956444,7.206306432804626,1.4688410196621983e-07,22926876.621437073,0.35415707421946346,274800.16982612695,1
2021-03-01 00:00:00-05:00,14.609999656677246,14.84000015258789,13.699999809265137,0.00898411278796818,959500,-9594.30456161499,1061862.216510898,1.1881191696954184e-06,-0.22928135880454978,7.488524926420328,7.325129063834328e-08,13461785.201311111,-0.05561936557867423,145909.78461135068,1
2021-03-02 00:00:00-05:00,14.5,14.75,12.859999656677246,-0.1191781287212077,830100,-1361364.284992218,1143620.3119370095,2.2768345299635632e-06,-1.3478514042398824,5.444545358736395,1.3263433638849708e-07,9890641.072511673,-0.14623673287709363,8147.794282742528,0
2021-03-03 00:00:00-05:00,13.0,13.149999618530273,11.729999542236328,-0.07698287694775563,1067100,-1205823.1221199036,1197808.2420747573,1.33070947080306e-06,-1.0773107425377737,4.032337150093117,1.0194419233630118e-07,11908835.837173462,-0.05655490042736975,-72424.90684691408,0
2021-03-04 00:00:00-05:00,11.949999809265137,12.149999618530273,10.859999656677246,0.008424632050029413,1296400,25928.59344482422,1197739.4977274435,9.9506322265738e-07,-0.012325607319544917,3.5671865716026536,8.552207254038842e-08,14681730.370903015,0.019553195180160646,-79172.76869772449,1
2021-03-05 00:00:00-05:00,12.050000190734863,12.800000190734863,11.520000457763672,0.0609857582248432,959800,623869.6338653564,1207779.1556968272,1.3336108907805702e-06,0.464330503293613,3.42552845739139,7.633548913285306e-08,11575187.945079803,-0.19720153489875292,-8454.045444394076,1
2021-03-08 00:00:00-05:00,12.149999618530273,12.289999961853027,10.760000228881836,-0.14173230061166564,5674000,-7092500.0,2268166.7865879457,2.696509927689798e-07,-3.052281467922198,0.6429436348258011,8.224740888463009e-08,57505988.5931015,1.85910925763598,-825459.45756812,0
2021-03-09 00:00:00-05:00,11.319999694824219,11.5,10.90999984741211,0.03761475370966205,2175400,-21752.42328643799,2267964.300119998,2.7121455943177835e-07,0.18327647014817178,0.7128343317136565,2.8207767405812233e-08,23962031.74686432,0.15598396469816456,-241140.96514347152,1
2021-03-10 00:00:00-05:00,11.699999809265137,11.880000114440918,10.800000190734863,-0.02033602894582731,2130500,-1320909.7561836243,2276742.167735473,5.06923221640955e-07,-0.3670358765401304,0.42574811221880393,4.9512388851874546e-08,22455469.918727875,0.07886421437638806,-262519.2313934837,0
2021-03-11 00:00:00-05:00,11.199999809265137,11.359999656677246,11.0,0.010830314655719375,1644300,0.0,2273850.2578392224,2.1893794117694221e-07,0.24004227737407494,-1.9320712286292203,1.563519167060459e-08,18120185.968637466,-0.20503729056259037,-174450.87034076458,1
2021-03-12 00:00:00-05:00,11.069999694824219,11.600000381469727,11.050000190734863,0.02767860936571198,1135900,499796.60663604736,2285840.6577130426,4.841977205166504e-07,0.45095790519869466,-2.2537464682156587,2.2746656306631192e-08,12761836.651659012,-0.488170150385559,-84978.890970676,1
2021-03-15 00:00:00-04:00,11.920000076293945,11.930000305175781,11.199999809265137,0.0017375763415861112,1467500,-572325.5038261414,2282169.9494288084,4.974449716597238e-07,-0.018599910732658032,-1.5788274808063607,2.9063675338155283e-08,16384636.744260788,-0.36945779840495774,-102647.23874854154,1
2021-03-16 00:00:00-04:00,11.380000114440918,11.579999923706055,10.960000038146973,-0.04423237528350721,1387300,-499427.5237083435,2062148.4513882461,4.4691118399703166e-07,0.13744493337231983,-5.036336411264806,3.213621477239056e-08,14857983.714437485,-0.2990920110273615,-129320.38051672404,0
