Close,14_day_rolling_average,14_day_rolling_median,14_day_rolling_volatility
17.65999984741211,,,
17.760000228881836,,,
17.719999313354492,,,
17.549999237060547,,,
17.65999984741211,,,
17.5,,,
17.3700008392334,,,
17.350000381469727,,,
17.469999313354492,,,
17.579999923706055,,,
17.290000915527344,,,
17.299999237060547,,,
17.260000228881836,,,
17.3799991607666,17.489285605294363,17.484999656677246,0.16890875460104934
17.479999542236328,17.47642844063895,17.47499942779541,0.16160749242318306
17.639999389648438,17.46785695212228,17.47499942779541,0.14802148267998022
17.709999084472656,17.46714265005929,17.47499942779541,0.14672962316908633
17.520000457763672,17.464999880109513,17.47499942779541,0.1456415577427247
17.6299991607666,17.462856973920548,17.47499942779541,0.14274358672235535
17.690000534057617,17.47642844063895,17.47499942779541,0.15504850773366555
17.489999771118164,17.484999792916433,17.484999656677246,0.15199931940829553
17.56999969482422,17.50071402958461,17.505000114440918,0.14829604778801583
17.530000686645508,17.50499984196254,17.52500057220459,0.14820710330855194
17.6299991607666,17.508571216038295,17.52500057220459,0.15073429056694262
17.399999618530273,17.51642826625279,17.52500057220459,0.14101862745814445
17.450000762939453,17.527142660958425,17.52500057220459,0.1284478959725151
17.440000534057617,17.53999982561384,17.52500057220459,0.10684265333812162
17.489999771118164,17.54785701206752,17.52500057220459,0.09783623712524459
17.549999237060547,17.55285699026925,17.539999961853027,0.09587052037495185
17.540000915527344,17.545714242117747,17.535000801086426,0.0925461439052719
17.440000534057617,17.526428631373815,17.52500057220459,0.08335330064623117
17.399999618530273,17.517857142857142,17.510000228881836,0.0899724032601207
17.350000381469727,17.497857230050222,17.489999771118164,0.09415026554148138
17.040000915527344,17.45142868586949,17.47000026702881,0.1408136690226642
16.950000762939453,17.41285732814244,17.445000648498535,0.19352680202912845
17.110000610351562,17.380000250680105,17.440000534057617,0.20358297172645604
17.1299991607666,17.351428713117325,17.420000076293945,0.20891111441637467
17.18000030517578,17.319285937717982,17.399999618530273,0.1970341811517122
17.110000610351562,17.298571722848074,17.375,0.20304805025502365
17.15999984741211,17.27785737173898,17.265000343322754,0.2011954405649128
17.260000228881836,17.265000207083567,17.22000026702881,0.19571349701031515
17.299999237060547,17.251428740365164,17.22000026702881,0.18521725086113106
17.299999237060547,17.23357159750802,17.22000026702881,0.16518545665012704
17.56999969482422,17.2357143674578,17.22000026702881,0.16960173107617216
17.670000076293945,17.252142906188965,17.22000026702881,0.19942887608983786
17.579999923706055,17.265000070844376,17.22000026702881,0.21489688386420178
17.639999389648438,17.285714285714285,17.22000026702881,0.23660110110262964
17.93000030517578,17.349285670689174,17.27999973297119,0.28091772328413406
18.0,17.424285616193497,17.299999237060547,0.30522914337761553
17.920000076293945,17.48214272090367,17.434999465942383,0.3175914558421069
17.93000030517578,17.53928565979004,17.574999809265137,0.3213066159689987
18.06999969482422,17.602857044764928,17.609999656677246,0.3325988766998511
18.260000228881836,17.684999874659947,17.65499973297119,0.3433490758588221
18.360000610351562,17.77071421486991,17.795000076293945,0.3518845236216379
18.459999084472656,17.856428418840682,17.925000190734863,0.3638599945080494
18.649999618530273,17.95285701751709,17.93000030517578,0.3834144586662827
18.600000381469727,18.045714242117747,17.96500015258789,0.3703369740202733
18.780000686645508,18.132142884390696,18.03499984741211,0.3913720122341666
19.049999237060547,18.23071425301688,18.164999961853027,0.4371316100500143
